Month,Hardware_Units_Sold,Active_Subscribers,Hardware_Revenue,Subscription_Revenue,Total_Gross_Revenue,Hardware_COGS,CAC,Marketing_Spend,Churn_Rate,Gross_Margin_%,
1,500,500,99500,6000,105500,32500,60,30000,0.0692,69.19,
2,550,1015,109450,12180,121630,35750,59.29,32609.5,0.0583,70.61,
3,611,1566,121589,18792,140381,39715,58.57,35786.27,0.0721,71.71,
4,692,2145,137708,25740,163448,44980,57.86,40039.12,0.0768,72.48,
5,764,2744,152036,32928,184964,49660,57.14,43654.96,0.0627,73.15,
6,841,3412,167359,40944,208303,54665,56.43,47457.63,0.0566,73.76,
7,946,4164,188254,49968,238222,61490,55.71,52701.66,0.0508,74.19,
8,1324,5276,263476,63312,326788,86060,55,72820,0.0695,73.66,
9,1853,6762,368747,81144,449891,120445,54.29,100599.37,0.0566,73.23,
10,2092,8471,416308,101652,517960,135980,53.57,112068.44,0.0743,73.75,
11,2301,10142,457899,121704,579603,149565,52.86,121630.86,0.0742,74.2,
12,3221,12610,640979,151320,792299,209365,52.14,167942.94,0.0602,73.58,
13,4509,16359,897291,196308,1093599,247995,51.43,231897.87,0.0787,77.32,
14,5035,20106,1001965,241272,1243237,276925,50.71,255324.85,0.0528,77.73,
15,5562,24606,1106838,295272,1402110,305910,50,278100,0.0754,78.18,
16,6286,29036,1250914,348432,1599346,345730,49.29,309836.94,0.0742,78.38,
17,7143,34024,1421457,408288,1829745,392865,48.57,346935.51,0.0661,78.53,
18,8204,39979,1632596,479748,2112344,451220,47.86,392643.44,0.0614,78.64,
19,9250,46774,1840750,561288,2402038,508750,47.14,436045,0.0749,78.82,
20,12950,56220,2577050,674640,3251690,712250,46.43,601268.5,0.0759,78.1,
21,18130,70082,3607870,840984,4448854,997150,45.71,828722.3,0.0711,77.59,
22,19984,85083,3976816,1020996,4997812,1099120,45,899280,0.0568,78.01,
23,22271,102521,4431929,1230252,5662181,1224905,44.29,986382.59,0.0524,78.37,
24,31179,128327,6204621,1539924,7744545,1714845,43.57,1358469.03,0.053,77.86,
25,43650,165175,8686350,1982100,10668450,1964250,42.86,1870839,0.0691,81.59,
26,48811,202572,9713389,2430864,12144253,2196495,42.14,2056895.54,0.0611,81.91,
27,54203,244397,10786397,2932764,13719161,2439135,41.43,2245630.29,0.058,82.22,
28,62161,292382,12370039,3508584,15878623,2797245,40.71,2530574.31,0.0694,82.38,
29,70270,342360,13983730,4108320,18092050,3162150,40,2810800,0.0551,82.52,
30,79858,403353,15891742,4840236,20731978,3593610,39.29,3137620.82,0.0549,82.67,
31,89358,470566,17782242,5646792,23429034,4021110,38.57,3446538.06,0.0797,82.84,
32,125101,558162,24895099,6697944,31593043,5629545,37.86,4736323.86,0.0667,82.18,
33,175141,696073,34853059,8352876,43205935,7881345,37.14,6504736.74,0.0753,81.76,
34,199450,843108,39690550,10117296,49807846,8975250,36.43,7265963.5,0.0569,81.98,
35,219715,1014850,43723285,12178200,55901485,9887175,35.71,7846022.65,0.0595,82.31,
36,307601,1262067,61212599,15144804,76357403,13842045,35,10766035,0.0563,81.87,
